"ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0019217","regulation of fatty acid metabolic process","11/652","108/18842",0.101851851851852,2.94339354692115,3.83457113910482,0.0012911121072536,0.0110559852661615,0.00366693604985847,"NME1/EDN1/PGK1/FABP5/ACACB/PDK4/CEACAM1/KAT2B/CAV1/GDF15/ACADL",11
"BP","GO:0051962","positive regulation of nervous system development","17/652","214/18842",0.0794392523364486,2.29569692104811,3.60899783824803,0.00129219433028767,0.0110559852661615,0.00366693604985847,"MME/SRPX2/IL6/TRPV2/NTRK2/MDK/CX3CR1/QKI/MYRF/BMP2/CXCL12/SLC7A5/SLIT2/THBS2/PTN/MACF1/SEMA5A",17
"BP","GO:1903320","regulation of protein modification by small protein conjugation or removal","17/652","214/18842",0.0794392523364486,2.29569692104811,3.60899783824803,0.00129219433028767,0.0110559852661615,0.00366693604985847,"ANGPT1/CDKN2A/CDK1/CAPN3/UBE2S/SASH1/EPAS1/WFS1/EGR1/UBE2C/ARRB1/FAM107A/CAV1/FOXF2/INAVA/CDC20/MAD2L1",17
"BP","GO:0031669","cellular response to nutrient levels","18/652","233/18842",0.0772532188841202,2.23252323652545,3.58402459570533,0.00129633691339231,0.0110704226183446,0.00367172448308358,"FOLR1/COL1A1/GAS6/SRD5A1/SESN1/LCN2/PDK4/PMAIP1/FOS/SLC7A5/KAT2B/POSTN/LPL/CYP24A1/ATF3/FAM107A/CAV1/KANK2",18
"BP","GO:0030177","positive regulation of Wnt signaling pathway","13/652","142/18842",0.0915492957746479,2.64566231746306,3.72669213460772,0.00132235085995867,0.0112712287855457,0.00373832581763829,"COL1A1/SCEL/GPC3/RECK/ZEB2/BMP2/CDH3/LGR4/MACF1/FGFR2/SOX4/SULF1/SEMA5A",13
"BP","GO:0032370","positive regulation of lipid transport","9/652","77/18842",0.116883116883117,3.37777866305474,3.95823821073953,0.00133217270746409,0.011312178414229,0.00375190757141529,"EDN1/PTCH1/MIF/ABCA3/ABCG1/CES1/SPP1/CAV1/ABCA8",9
"BP","GO:0035270","endocrine system development","9/652","77/18842",0.116883116883117,3.37777866305474,3.95823821073953,0.00133217270746409,0.011312178414229,0.00375190757141529,"IL6/EDN1/SRD5A1/DSG2/MDK/BMP2/DKK3/CDH1/EDNRA",9
"BP","GO:0007585","respiratory gaseous exchange by respiratory system","6/652","36/18842",0.166666666666667,4.81646216768916,4.33933739734754,0.00134708547678593,0.011395888207932,0.00377967157913293,"SFTPD/SFTPB/SFTPA2/EDNRA/SFTPC/TNNC1",6
"BP","GO:0014075","response to amine","6/652","36/18842",0.166666666666667,4.81646216768916,4.33933739734754,0.00134708547678593,0.011395888207932,0.00377967157913293,"EDN1/RGS17/CDK1/EDNRA/SLC1A1/FOSB",6
"BP","GO:0015718","monocarboxylic acid transport","15/652","178/18842",0.0842696629213483,2.43528986006755,3.64255969722715,0.00136084546039016,0.0114907344211596,0.00381112920051214,"EDN1/FABP5/SLC2A1/MIF/CEACAM1/SLC16A3/PLA2G4A/CES1/ABCC3/SLC27A3/SLCO2A1/CRABP2/CD36/FABP4/PLA2G1B",15
"BP","GO:0015908","fatty acid transport","11/652","109/18842",0.100917431192661,2.91638993639894,3.79885648687253,0.00139223848348751,0.0117230938223561,0.00388819578881328,"EDN1/FABP5/SLC2A1/MIF/PLA2G4A/SLC27A3/SLCO2A1/CRABP2/CD36/FABP4/PLA2G1B",11
"BP","GO:0031100","animal organ regeneration","7/652","49/18842",0.142857142857143,4.12839614373357,4.15127159795085,0.0013961635357297,0.0117230938223561,0.00388819578881328,"GAS6/IL6/PTCH1/TGFBR3/CXCL12/SLC7A5/AURKA",7
"BP","GO:0048708","astrocyte differentiation","7/652","49/18842",0.142857142857143,4.12839614373357,4.15127159795085,0.0013961635357297,0.0117230938223561,0.00388819578881328,"IL6/LDLR/QKI/ZEB2/BMP2/AGER/C5AR1",7
"BP","GO:1990266","neutrophil migration","10/652","93/18842",0.10752688172043,3.10739494689623,3.85707227802305,0.00140204592099525,0.0117506041965941,0.00389732014820864,"EMP2/EDN1/MDK/PECAM1/SLIT2/PERP/C5AR1/CXCL13/PLA2G1B/CXCL3",10
"BP","GO:0031400","negative regulation of protein modification process","16/652","197/18842",0.0812182741116751,2.34710846750335,3.59843703893876,0.00140894404936064,0.0117865096819427,0.00390922891214446,"CDKN2A/CEACAM1/CDK1/CAPN3/FBLN1/IL7R/FXYD1/GPRC5A/SLIT2/ARRB1/FRY/CAV1/ADARB1/IGFBP3/SFN/MAD2L1",16
"BP","GO:0006936","muscle contraction","25/652","375/18842",0.0666666666666667,1.92658486707566,3.43132682493838,0.00142281020026133,0.0118279269133932,0.00392296575562198,"NMU/SYNM/EDN1/DSG2/MYLK/MYH11/ADRB2/ENO1/CACNA2D2/FXYD1/LMOD1/EDNRA/CNN1/NEDD4L/DSP/DES/DOCK4/CRYAB/CAV1/EDNRB/ATP2A2/MYL9/TNNC1/SULF1/DMD",25
"BP","GO:0001890","placenta development","8/652","63/18842",0.126984126984127,3.6696854610965,4.01840368336382,0.00142365212429723,0.0118279269133932,0.00392296575562198,"MME/ADGRG6/PHLDA2/SPP1/HEY1/PTN/FGFR2/TPPP3",8
"BP","GO:0032731","positive regulation of interleukin-1 beta production","8/652","63/18842",0.126984126984127,3.6696854610965,4.01840368336382,0.00142365212429723,0.0118279269133932,0.00392296575562198,"IL6/AGER/F2RL1/TYROBP/EGR1/LPL/CD36/INAVA",8
"BP","GO:0044771","meiotic cell cycle phase transition","4/652","15/18842",0.266666666666667,7.70633946830266,4.91926280244384,0.00142963410241723,0.0118279269133932,0.00392296575562198,"TTK/ZWINT/NDC80/CDC20",4
"BP","GO:0048714","positive regulation of oligodendrocyte differentiation","4/652","15/18842",0.266666666666667,7.70633946830266,4.91926280244384,0.00142963410241723,0.0118279269133932,0.00392296575562198,"MDK/QKI/MYRF/PTN",4
"BP","GO:0072574","hepatocyte proliferation","4/652","15/18842",0.266666666666667,7.70633946830266,4.91926280244384,0.00142963410241723,0.0118279269133932,0.00392296575562198,"IL6/MDK/CEACAM1/PTN",4
"BP","GO:0003272","endocardial cushion formation","5/652","25/18842",0.2,5.77975460122699,4.52751434433182,0.00145971656906407,0.0119969387385395,0.00397902186817655,"TGFBR2/BMP2/TBX3/ENG/TBX2",5
"BP","GO:0060037","pharyngeal system development","5/652","25/18842",0.2,5.77975460122699,4.52751434433182,0.00145971656906407,0.0119969387385395,0.00397902186817655,"FOLR1/EDN1/PTCH1/EDNRA/TBX2",5
"BP","GO:0060045","positive regulation of cardiac muscle cell proliferation","5/652","25/18842",0.2,5.77975460122699,4.52751434433182,0.00145971656906407,0.0119969387385395,0.00397902186817655,"TGFBR3/CDK1/CCNB1/FGFR2/TBX2",5
"BP","GO:0055006","cardiac cell development","9/652","78/18842",0.115384615384615,3.33447380840019,3.91140708470452,0.00146070511587008,0.0119969387385395,0.00397902186817655,"EDN1/MYH11/MEIS1/TGFBR3/CDK1/TBX3/NEBL/CCNB1/FHL2",9
"BP","GO:0060047","heart contraction","18/652","236/18842",0.076271186440678,2.20414370385775,3.52425427722208,0.00149652056269616,0.0122687476676309,0.00406917267217671,"NMU/EDN1/DSG2/ADRB2/FXYD1/GATA6/EDNRA/SLC1A1/NEDD4L/DSP/DES/CAV1/AGTR2/EDNRB/ATP2A2/TNNC1/TBX2/DMD",18
"BP","GO:1901989","positive regulation of cell cycle phase transition","11/652","110/18842",0.1,2.8898773006135,3.76354661783026,0.00149976980776524,0.0122730708951243,0.00407060655602928,"RGCC/DLGAP5/RRM2/CDK1/BIRC5/UBE2C/EZH2/ADAMTS1/CCNB1/CDC20/TBX2",11
"BP","GO:1905897","regulation of response to endoplasmic reticulum stress","10/652","94/18842",0.106382978723404,3.07433755384415,3.81702766284802,0.00152145097306176,0.0124279391984338,0.00412197169000105,"AKT3/PMAIP1/CLU/WFS1/PPP1R15A/MAGEA3/CAV1/PIK3R1/AGR2/ALOX5",10
"BP","GO:0060043","regulation of cardiac muscle cell proliferation","6/652","37/18842",0.162162162162162,4.68628751450837,4.24925526870004,0.00156145606244405,0.0126857754694779,0.00420748818577155,"RBP4/TGFBR3/CDK1/CCNB1/FGFR2/TBX2",6
"BP","GO:0060688","regulation of morphogenesis of a branching structure","6/652","37/18842",0.162162162162162,4.68628751450837,4.24925526870004,0.00156145606244405,0.0126857754694779,0.00420748818577155,"MDK/LGR4/FGFR2/AGTR2/GREM1/SULF1",6
"BP","GO:0090050","positive regulation of cell migration involved in sprouting angiogenesis","6/652","37/18842",0.162162162162162,4.68628751450837,4.24925526870004,0.00156145606244405,0.0126857754694779,0.00420748818577155,"SRPX2/GATA2/AKT3/TGFBR3/JCAD/GREM1",6
"BP","GO:0031099","regeneration","13/652","145/18842",0.0896551724137931,2.5909244764121,3.64088552057674,0.00159900498536904,0.0129211055742423,0.00428554006663093,"FOLR1/GAS6/IL6/MDK/PTCH1/TGFBR3/CAPN3/CXCL12/SLC7A5/AURKA/SPP1/PTN/CCNB1",13
"BP","GO:0046209","nitric oxide metabolic process","9/652","79/18842",0.113924050632911,3.29226527917993,3.86533114150538,0.00159901905309984,0.0129211055742423,0.00428554006663093,"HBB/EDN1/NQO1/CX3CR1/CLU/KLF2/KLF4/CD36/CAV1",9
"BP","GO:0070664","negative regulation of leukocyte proliferation","9/652","79/18842",0.113924050632911,3.29226527917993,3.86533114150538,0.00159901905309984,0.0129211055742423,0.00428554006663093,"TNFRSF21/CDKN2A/HLA-E/SFTPD/VSIG4/MNDA/TYROBP/IL33/GREM1",9
"BP","GO:1903522","regulation of blood circulation","19/652","257/18842",0.0739299610894942,2.13648516387768,3.47302950385198,0.00161130801391804,0.0129971159834641,0.00431075042129676,"NMU/EDN1/DSG2/SVEP1/ADRB2/AGER/FXYD1/EDNRA/SLC1A1/DSP/DES/AGTR1/DOCK4/CAV1/AGTR2/EDNRB/ATP2A2/TBX2/DMD",19
"BP","GO:0001667","ameboidal-type cell migration","16/652","200/18842",0.08,2.3119018404908,3.53125849945,0.0016476899593326,0.0131830457188047,0.00437241769317235,"MMP9/FOLR1/EDN1/HYAL2/GPC3/ZEB2/SEMA3G/SEMA6A/TNS1/SASH1/EDNRA/MACF1/HBEGF/KANK2/TIMP1/SEMA5A",16
"BP","GO:0007623","circadian rhythm","16/652","200/18842",0.08,2.3119018404908,3.53125849945,0.0016476899593326,0.0131830457188047,0.00437241769317235,"NMU/NTRK2/ID4/GFPT1/CDK1/PER1/EGR1/EZH2/LGR4/ID3/TOP2A/KLF9/SLC6A4/PTGDS/CLDN4/ID1",16
"BP","GO:0018958","phenol-containing compound metabolic process","10/652","95/18842",0.105263157894737,3.04197610590894,3.77751321197788,0.00164897710920511,0.0131830457188047,0.00437241769317235,"MAOA/HPRT1/ALDH2/ZEB2/CDH3/KL/EDNRA/SLC1A1/NPR1/DUOX1",10
"BP","GO:0032602","chemokine production","10/652","95/18842",0.105263157894737,3.04197610590894,3.77751321197788,0.00164897710920511,0.0131830457188047,0.00437241769317235,"IL6/MIF/AGER/F2RL1/KLF4/EGR1/LPL/IL33/ACKR1/IL1RL1",10
"BP","GO:0032642","regulation of chemokine production","10/652","95/18842",0.105263157894737,3.04197610590894,3.77751321197788,0.00164897710920511,0.0131830457188047,0.00437241769317235,"IL6/MIF/AGER/F2RL1/KLF4/EGR1/LPL/IL33/ACKR1/IL1RL1",10
"BP","GO:1901873","regulation of post-translational protein modification","17/652","219/18842",0.0776255707762557,2.24328374933468,3.50370002319085,0.0016579398908025,0.0132312406506699,0.00438840249496275,"ANGPT1/CDKN2A/CDK1/CAPN3/UBE2S/SASH1/EPAS1/WFS1/EGR1/UBE2C/ARRB1/FAM107A/CAV1/FOXF2/INAVA/CDC20/MAD2L1",17
"BP","GO:0046718","symbiont entry into host cell","12/652","129/18842",0.0930232558139535,2.68825795405907,3.64268295857382,0.00174506394715491,0.0138455875888566,0.00459216280040129,"GAS6/LDLR/MYH10/HYAL2/CD55/CDK1/MRC1/CAV2/AGTR1/TMPRSS4/CAV1/EFNB2",12
"BP","GO:0032722","positive regulation of chemokine production","8/652","65/18842",0.123076923076923,3.55677206229353,3.90926409271987,0.00174677906312557,0.0138455875888566,0.00459216280040129,"IL6/MIF/AGER/F2RL1/EGR1/LPL/IL33/IL1RL1",8
"BP","GO:0003171","atrioventricular valve development","5/652","26/18842",0.192307692307692,5.55745634733365,4.40255674612547,0.00175641519202173,0.0138455875888566,0.00459216280040129,"TGFBR2/BMP2/HEY1/SOX4/SMAD6",5
"BP","GO:0033622","integrin activation","5/652","26/18842",0.192307692307692,5.55745634733365,4.40255674612547,0.00175641519202173,0.0138455875888566,0.00459216280040129,"RASIP1/CXCL12/PTGER4/CXCL13/FERMT2",5
"BP","GO:0033687","osteoblast proliferation","5/652","26/18842",0.192307692307692,5.55745634733365,4.40255674612547,0.00175641519202173,0.0138455875888566,0.00459216280040129,"NPR3/BMP2/FBLN5/FGFR2/GREM1",5
"BP","GO:0036296","response to increased oxygen levels","5/652","26/18842",0.192307692307692,5.55745634733365,4.40255674612547,0.00175641519202173,0.0138455875888566,0.00459216280040129,"COL1A1/LCN2/SLC7A5/CAT/CAV1",5
"BP","GO:0090594","inflammatory response to wounding","5/652","26/18842",0.192307692307692,5.55745634733365,4.40255674612547,0.00175641519202173,0.0138455875888566,0.00459216280040129,"IL6/DSG2/MDK/IL33/ALOX5",5
"BP","GO:0009880","embryonic pattern specification","7/652","51/18842",0.137254901960784,3.96649825574402,4.01618456014842,0.00177298619445786,0.0138791575534905,0.00460329694272735,"CHRDL1/PTCH1/MEIS1/TBX3/MEIS2/FGFR2/SMAD6",7
"BP","GO:0045778","positive regulation of ossification","7/652","51/18842",0.137254901960784,3.96649825574402,4.01618456014842,0.00177298619445786,0.0138791575534905,0.00460329694272735,"TFAP2A/ZBTB16/GPM6B/BMP2/KL/PTN/ALOX5",7
"BP","GO:0071385","cellular response to glucocorticoid stimulus","7/652","51/18842",0.137254901960784,3.96649825574402,4.01618456014842,0.00177298619445786,0.0138791575534905,0.00460329694272735,"EDN1/SRD5A1/ZFP36/KLF9/FAM107A/AQP1/TBX2",7
"BP","GO:1904707","positive regulation of vascular associated smooth muscle cell proliferation","7/652","51/18842",0.137254901960784,3.96649825574402,4.01618456014842,0.00177298619445786,0.0138791575534905,0.00460329694272735,"MMP9/RGCC/EDN1/HPGD/NR4A3/ADAMTS1/FGFR2",7
"BP","GO:0060395","SMAD protein signal transduction","10/652","96/18842",0.104166666666667,3.01028885480573,3.738515608545,0.00178502477823566,0.013925046237136,0.0046185168317096,"TGFBR2/WWTR1/TTK/TGFBR3/FOS/BMP2/ENG/GDF15/GREM1/SMAD6",10
"BP","GO:1901655","cellular response to ketone","10/652","96/18842",0.104166666666667,3.01028885480573,3.738515608545,0.00178502477823566,0.013925046237136,0.0046185168317096,"GAS6/SRD5A1/FOS/PTGER4/POSTN/SPP1/FBP1/KLF9/AQP1/TBX2",10
"BP","GO:0055010","ventricular cardiac muscle tissue morphogenesis","6/652","38/18842",0.157894736842105,4.56296415886342,4.16234001175066,0.0018008072193899,0.0140239028535908,0.00465130458259006,"TGFBR3/EDNRA/DSP/ENG/FGFR2/TNNC1",6
"BP","GO:0002700","regulation of production of molecular mediator of immune response","13/652","147/18842",0.0884353741496599,2.55567380326364,3.58487398678362,0.00180882806799834,0.0140620788941457,0.00466396642104061,"GPI/IL6/IRAK3/HLA-E/MIF/CD55/RBP4/F2RL1/NR4A3/SLC7A5/IL33/PGC/INAVA",13
"BP","GO:0120254","olefinic compound metabolic process","14/652","165/18842",0.0848484848484849,2.45201710355085,3.54666008949491,0.00181987613044488,0.014123616991697,0.0046843767474763,"SRD5A1/HSD17B6/CYP2B6/RBP4/ALDH1A1/BMP2/PLA2G4A/DKK3/CES1/EGR1/PTGDS/EDNRB/ADH1B/ALOX5",14
"BP","GO:0035809","regulation of urine volume","4/652","16/18842",0.25,7.22469325153374,4.71583218182457,0.00185439936402036,0.0143668156913536,0.00476503840336499,"NPR3/HYAL2/NPR1/EDNRB",4
"BP","GO:0045471","response to ethanol","12/652","130/18842",0.0923076923076923,2.66757904672015,3.61208053188726,0.00186363243445999,0.0144135825848716,0.00478054956801042,"CLDN5/RBP4/CDK1/FOS/HPGD/CDO1/CLDN18/CAT/FGFR2/GABBR1/FOSB/CLDN3",12
"BP","GO:0090049","regulation of cell migration involved in sprouting angiogenesis","9/652","81/18842",0.111111111111111,3.21097477845944,3.77535442862331,0.00190712250284245,0.0146995134449857,0.00487538418957315,"SRPX2/GATA2/AKT3/MMRN2/STARD13/TGFBR3/JCAD/KLF4/GREM1",9
"BP","GO:2001057","reactive nitrogen species metabolic process","9/652","81/18842",0.111111111111111,3.21097477845944,3.77535442862331,0.00190712250284245,0.0146995134449857,0.00487538418957315,"HBB/EDN1/NQO1/CX3CR1/CLU/KLF2/KLF4/CD36/CAV1",9
"BP","GO:0045123","cellular extravasation","8/652","66/18842",0.121212121212121,3.50288157650121,3.85629415481065,0.001928703560527,0.0148152033294995,0.00491375502653747,"MDK/CX3CR1/PECAM1/CXCL12/AGER/PTGER4/LYVE1/JAM2",8
"BP","GO:0140962","multicellular organismal-level chemical homeostasis","8/652","66/18842",0.121212121212121,3.50288157650121,3.85629415481065,0.001928703560527,0.0148152033294995,0.00491375502653747,"ADCY9/SFTPD/ADGRF5/HYAL2/ABCA3/WFS1/AQP4/AQP1",8
"BP","GO:0050767","regulation of neurogenesis","20/652","281/18842",0.0711743772241993,2.05685217125516,3.37929527967674,0.00193419134131567,0.0148320897244768,0.00491935573321387,"MME/IL6/LDLR/TRPV2/NTRK2/MDK/CX3CR1/QKI/MYRF/SEMA3G/BMP2/CXCL12/SLC7A5/CDH1/SLIT2/SPP1/HEY1/PTN/MACF1/SEMA5A",20
"BP","GO:0032868","response to insulin","18/652","242/18842",0.0743801652892562,2.14949551285301,3.40735916457959,0.00197614869956267,0.0151281060888423,0.00501753541161502,"COL1A1/SRD5A1/SLC2A1/AKT3/PDK4/CEACAM1/FOS/PID1/KAT2B/GCLC/EGR1/CAV2/FBP1/CAT/SORBS1/PLA2G1B/PIK3R1/GHR",18
"BP","GO:0030099","myeloid cell differentiation","24/652","364/18842",0.0659340659340659,1.90541360480011,3.30239980145274,0.00203054697539739,0.0155181971390963,0.00514691681910312,"HBB/MMP9/HBA1/TGFBR2/GATA2/MEIS1/QKI/CEACAM1/ZBTB16/TGFBR3/BMP2/F2RL1/TYROBP/EPAS1/HOXA5/NEDD9/ZFP36/IL33/UBD/SNRK/MEIS2/TAL1/HBA2/IL1RL1",24
"BP","GO:0070633","transepithelial transport","6/652","39/18842",0.153846153846154,4.44596507786692,4.07839255668575,0.00206695506623303,0.0157697130180114,0.00523033703189308,"EDN1/SLC1A1/CLDN18/AQP1/EDNRB/CLDN3",6
"BP","GO:0090100","positive regulation of transmembrane receptor protein serine/threonine kinase signaling pathway","10/652","98/18842",0.102040816326531,2.94885438838112,3.6620200225211,0.00208433964290212,0.0158754855571717,0.00526541858524129,"TGFBR2/TTK/TGFBR3/ZEB2/BMP2/CDH5/CDKN1C/ENG/ZNF423/SULF1",10
"BP","GO:0060055","angiogenesis involved in wound healing","5/652","27/18842",0.185185185185185,5.35162463076573,4.28391278062282,0.00209500191051437,0.0159029690479954,0.00527453402822094,"MCAM/GATA2/CD34/NDNF/ALOX5",5
"BP","GO:1900745","positive regulation of p38MAPK cascade","5/652","27/18842",0.185185185185185,5.35162463076573,4.28391278062282,0.00209500191051437,0.0159029690479954,0.00527453402822094,"BMP2/AGER/SASH1/GADD45B/STK39",5
"BP","GO:0030239","myofibril assembly","8/652","67/18842",0.119402985074627,3.45059976192656,3.80433925556787,0.00212523215196202,0.016105330711255,0.00534165127378991,"EDN1/MYH11/KRT19/CAPN3/LMOD1/NEBL/KRT8/MYL9",8
"BP","GO:0070555","response to interleukin-1","11/652","115/18842",0.0956521739130435,2.76423046145639,3.59277114810439,0.00214430326829387,0.0161954161419381,0.00537152988753498,"CHI3L1/IL6/EDN1/HYAL1/IRAK3/LCN2/HYAL2/KLF2/GCLC/EGR1/GHR",11
"BP","GO:1904064","positive regulation of cation transmembrane transport","11/652","115/18842",0.0956521739130435,2.76423046145639,3.59277114810439,0.00214430326829387,0.0161954161419381,0.00537152988753498,"FHL1/EDN1/LCN2/KCNN4/CAPN3/FXYD1/EDNRA/STK39/CAV1/PLA2G1B/FXYD6",11
"BP","GO:0051701","biological process involved in interaction with host","14/652","168/18842",0.0833333333333333,2.40823108384458,3.47111748306575,0.00215387655989638,0.0162405174056401,0.00538648861312855,"GAS6/LDLR/MYH10/HYAL2/CD55/CDK1/MRC1/FBLN1/MUC5B/CAV2/AGTR1/TMPRSS4/CAV1/EFNB2",14
"BP","GO:0031341","regulation of cell killing","10/652","99/18842",0.101010101010101,2.91906798041767,3.62449768862585,0.00224846040942889,0.0169253889584556,0.00561363980102204,"CX3CR1/HLA-E/CD55/CEACAM1/CLU/AGER/F2RL1/TYROBP/CADM1/DNASE1L3",10
"BP","GO:0032612","interleukin-1 production","12/652","133/18842",0.0902255639097744,2.60740809077909,3.52197367977465,0.00225958859384357,0.0169525540260244,0.00562264963263513,"GAS6/IL6/CX3CR1/IGHD/CEACAM1/AGER/F2RL1/TYROBP/EGR1/LPL/CD36/INAVA",12
"BP","GO:0032652","regulation of interleukin-1 production","12/652","133/18842",0.0902255639097744,2.60740809077909,3.52197367977465,0.00225958859384357,0.0169525540260244,0.00562264963263513,"GAS6/IL6/CX3CR1/IGHD/CEACAM1/AGER/F2RL1/TYROBP/EGR1/LPL/CD36/INAVA",12
"BP","GO:0046683","response to organophosphorus","11/652","116/18842",0.0948275862068965,2.7404008885128,3.55971480263854,0.00229685833283153,0.01717563597412,0.00569663917023412,"COL1A1/SRD5A1/FOS/PER1/CDO1/FBP1/DUOX1/DUSP1/SLC6A4/AQP1/FOSB",11
"BP","GO:0051494","negative regulation of cytoskeleton organization","13/652","151/18842",0.0860927152317881,2.48797383496526,3.47557706360171,0.00229694133785637,0.01717563597412,0.00569663917023412,"SPTBN1/TPX2/GMFG/KANK3/S1PR1/CDH5/LMOD1/KAT2B/SLIT2/KANK2/DLC1/PIK3R1/ARHGAP6",13
"BP","GO:0002720","positive regulation of cytokine production involved in immune response","8/652","68/18842",0.117647058823529,3.39985564778058,3.75336320521623,0.00233716150191112,0.0173438889663609,0.00575244360085623,"IL6/HLA-E/MIF/CD55/F2RL1/NR4A3/SLC7A5/INAVA",8
"BP","GO:0010224","response to UV-B","4/652","17/18842",0.235294117647059,6.79971129556117,4.52921322423547,0.00235919276270282,0.0173438889663609,0.00575244360085623,"MME/MFAP4/HYAL1/HYAL2",4
"BP","GO:0033623","regulation of integrin activation","4/652","17/18842",0.235294117647059,6.79971129556117,4.52921322423547,0.00235919276270282,0.0173438889663609,0.00575244360085623,"RASIP1/PTGER4/CXCL13/FERMT2",4
"BP","GO:0061318","renal filtration cell differentiation","4/652","17/18842",0.235294117647059,6.79971129556117,4.52921322423547,0.00235919276270282,0.0173438889663609,0.00575244360085623,"EDN1/CD24/EDNRA/PODXL",4
"BP","GO:0072112","podocyte differentiation","4/652","17/18842",0.235294117647059,6.79971129556117,4.52921322423547,0.00235919276270282,0.0173438889663609,0.00575244360085623,"EDN1/CD24/EDNRA/PODXL",4
"BP","GO:0072567","chemokine (C-X-C motif) ligand 2 production","4/652","17/18842",0.235294117647059,6.79971129556117,4.52921322423547,0.00235919276270282,0.0173438889663609,0.00575244360085623,"MIF/F2RL1/KLF4/LPL",4
"BP","GO:2000341","regulation of chemokine (C-X-C motif) ligand 2 production","4/652","17/18842",0.235294117647059,6.79971129556117,4.52921322423547,0.00235919276270282,0.0173438889663609,0.00575244360085623,"MIF/F2RL1/KLF4/LPL",4
"BP","GO:0046686","response to cadmium ion","6/652","40/18842",0.15,4.33481595092025,3.99723116446247,0.00236175378694734,0.0173438889663609,0.00575244360085623,"GPI/SLC39A8/CDK1/MT1M/GCLC/CAT",6
"BP","GO:0071398","cellular response to fatty acid","6/652","40/18842",0.15,4.33481595092025,3.99723116446247,0.00236175378694734,0.0173438889663609,0.00575244360085623,"EDN1/LDLR/PDK4/PID1/LPL/CCNB1",6
"BP","GO:1904994","regulation of leukocyte adhesion to vascular endothelial cell","6/652","40/18842",0.15,4.33481595092025,3.99723116446247,0.00236175378694734,0.0173438889663609,0.00575244360085623,"IL6/MDK/CXCL12/KLF4/EFNB2/ALOX5",6
"BP","GO:1990776","response to angiotensin","6/652","40/18842",0.15,4.33481595092025,3.99723116446247,0.00236175378694734,0.0173438889663609,0.00575244360085623,"CA2/KL/AGTR1/CAV1/AGTR2/COL3A1",6
"BP","GO:0046394","carboxylic acid biosynthetic process","22/652","327/18842",0.0672782874617737,1.94425995759929,3.26109172630743,0.00239318068089603,0.0175461003092036,0.00581951098968767,"NME1/EDN1/FABP5/GGTLC1/ACACB/PDK4/MIF/CEACAM1/ALDH1A1/ALOX5AP/PLA2G4A/CES1/SHMT2/CDO1/KAT2B/LPL/FGFR4/PLA2G1B/MTHFD2/PTGDS/ACADL/ALOX5",22
"BP","GO:0044409","symbiont entry into host","12/652","134/18842",0.0895522388059701,2.58794982144492,3.49248795085809,0.00240589899298517,0.0175821694641331,0.00583147403787512,"GAS6/LDLR/MYH10/HYAL2/CD55/CDK1/MRC1/CAV2/AGTR1/TMPRSS4/CAV1/EFNB2",12
"BP","GO:1990138","neuron projection extension","12/652","134/18842",0.0895522388059701,2.58794982144492,3.49248795085809,0.00240589899298517,0.0175821694641331,0.00583147403787512,"NRN1/EDN1/TRPV2/SEMA3G/CXCL12/CDH1/EDNRA/FLRT3/NEDD4L/SLIT2/MACF1/SEMA5A",12
"BP","GO:0070252","actin-mediated cell contraction","11/652","117/18842",0.094017094017094,2.71697865869645,3.52700713238687,0.00245809070659243,0.0179345161747982,0.0059483367890712,"EMP2/DSG2/QKI/ADRB2/ZEB2/NEDD4L/DSP/LIMCH1/CAV1/ATP2A2/TNNC1",11
"BP","GO:0008544","epidermis development","20/652","287/18842",0.0696864111498258,2.01385177743101,3.27675792922643,0.00247334878554435,0.0180128167887593,0.00597430673540777,"EMP1/SCEL/FABP5/CCN2/SVEP1/KRT15/CDH3/GATA6/KLF4/DSP/ZFP36/ZBED2/CRABP2/FGFR2/MAFF/ATP2A2/CLDN4/SFN/ST14/KAZN",20
"BP","GO:0048713","regulation of oligodendrocyte differentiation","5/652","28/18842",0.178571428571429,5.16049517966696,4.17102595294416,0.00247880524629526,0.0180128167887593,0.00597430673540777,"TNFRSF21/MDK/QKI/MYRF/PTN",5
"BP","GO:0055021","regulation of cardiac muscle tissue growth","7/652","54/18842",0.12962962962963,3.74613724153601,3.82594097041431,0.0024808071026435,0.0180128167887593,0.00597430673540777,"EDN1/RBP4/TGFBR3/CDK1/CCNB1/FGFR2/TBX2",7
"BP","GO:0010038","response to metal ion","21/652","308/18842",0.0681818181818182,1.97037088678193,3.25078285306747,0.00253786442925561,0.0183974770281568,0.00610188690712805,"GPI/SLC39A8/EDN1/LCN2/TFAP2A/CDK1/CAPN3/ALOX5AP/MT1M/KCNK3/CDH1/GCLC/FBP1/DUSP1/CAT/CCNB1/STK39/CAV1/AQP1/ECT2/TNNC1",21
"BP","GO:0030509","BMP signaling pathway","13/652","153/18842",0.0849673202614379,2.45545130117487,3.42223465799342,0.00257879854203585,0.0186642096726158,0.00619035406099036,"SOSTDC1/CHRDL1/TMEM100/TGFBR3/BMP2/CDH5/ENG/CAV1/CRIM1/GREM1/ZNF423/SMAD6/SULF1",13
